id,effectV2,effectV1
2813,If caster is wearing a magic ring: he thinks that it's on fire, Casterâ€™s footprints appear 10 feet left of where he steps
2814,If caster is wearing a magic ring: he throws it 4d6 feet from him, Casterâ€™s footprints appear to have been made by his hands
2815,If caster is wearing a magic ring: he tries to destroy it, Casterâ€™s footprints appear to have been made weeks earlier
2816,If caster is wearing a magic ring: he tries to sever that finger, Casterâ€™s footprints appear twice as big as his feet
2817,If caster is wearing a magic ring: he uses it whenever possible, Casterâ€™s footprints become 2 feet deep when he steps from them
2818,If caster is wearing a magic ring: he wants to swallow it, Casterâ€™s footprints exude swamp gas
2819,If caster is wearing a magic ring: he weeps tears of honey, Casterâ€™s footprints face 90Â° from his direction of travel
2820,If caster is wearing a magic ring: he'll die if he removes it, Casterâ€™s footprints fill with ice
2821,If caster is wearing a magic ring: he's accused of sedition, Casterâ€™s footprints for d12 weeks face wrong direction
2822,If caster is wearing a magic ring: he's allergic to it, Casterâ€™s footprints fossilize: making tracking confusing
2823,If caster is wearing a magic ring: he's attacked by crows, Casterâ€™s footprints give off steam
2824,If caster is wearing a magic ring: he's attacked by scarabs, Casterâ€™s footprints glow faintly in darkness
2825,If caster is wearing a magic ring: he's blind until he removes it, Casterâ€™s footprints glow in the dark
2826,If caster is wearing a magic ring: he's declared guilty of heresy, Casterâ€™s footprints hum and glow: making tracking simple
2827,If caster is wearing a magic ring: he's eager to behead himself, Casterâ€™s footprints rise two feet high when he steps from them
2828,If caster is wearing a magic ring: he's imprisoned far away, Casterâ€™s footprints seem to indicate that he has three feet
2829,If caster is wearing a magic ring: he's known to have stolen it, Casterâ€™s footprints switch left-for-right
2830,If caster is wearing a magic ring: he's placed under arrest, Casterâ€™s footprints teleport any standing in them to his home
2831,If caster is wearing a magic ring: he's related to the king, Casterâ€™s full Hit Points are restored
2832,If caster is wearing a magic ring: he's reluctant to use it, Casterâ€™s gender appears different to all viewing him
2833,If caster is wearing a magic ring: he's struck by lightning, Casterâ€™s gender changes daily
2834,If caster is wearing a magic ring: he's swarmed by vermin, Casterâ€™s gender changes every time he casts a spell
2835,If caster is wearing a magic ring: he's terrified of its power, Casterâ€™s gender changes when he loses 50% of his hit points
2836,If caster is wearing a magic ring: he's wearing a copy in his nose, Casterâ€™s gender fluctuates each turn for the next d100 turns
2837,If caster is wearing a magic ring: his Charisma is 3, Casterâ€™s gloves become glaives
2838,If caster is wearing a magic ring: his Charisma is 18, Casterâ€™s gloves turn to boots
2839,If caster is wearing a magic ring: his clothes turn invisible, Casterâ€™s gloves turn to cast iron
2840,If caster is wearing a magic ring: his clothes turn to lead, Casterâ€™s gloves turn to mittens
2841,If caster is wearing a magic ring: his ears and nose fall off, Casterâ€™s gloves turn to Reglarâ€™s Gloves of Freedom
2842,If caster is wearing a magic ring: his eyes turn invisible, Casterâ€™s gold is transmuted to an equal volume of flesh
2843,If caster is wearing a magic ring: his fingernails grow 1d4 feet, Casterâ€™s hair and clothes are blown by wind only he can feel
2844,If caster is wearing a magic ring: his hands look like a corpse's , Casterâ€™s hair and skin exchange color
2845,If caster is wearing a magic ring: his hands switch wrists, Casterâ€™s hair appears white in moonlight
2846,If caster is wearing a magic ring: his head turns invisible, Casterâ€™s hair crackles with electricity when he casts a spell
2847,If caster is wearing a magic ring: his teeth turn to gold, Casterâ€™s hair doubles its length
2848,If caster is wearing a magic ring: holy water burns his skin, Casterâ€™s hair falls out
2849,If caster is wearing a magic ring: it acquires an odd new ability, Casterâ€™s hair falls out each morning; regrows each night
2850,If caster is wearing a magic ring: it becomes clear like glass, Casterâ€™s hair falls out each night; regrows each morning
2851,If caster is wearing a magic ring: it becomes part of his body, Casterâ€™s hair freezes solid for d4 turns
2852,If caster is wearing a magic ring: it can't cross moving water, Casterâ€™s hair grows 1 inch per hour for the next three days
2853,If caster is wearing a magic ring: it can't pass through doorways, Casterâ€™s hair grows 1d4 inches every time he casts a spell
2854,If caster is wearing a magic ring: it derides his magical prowess, Casterâ€™s hair grows 1d4 inches every time he sneezes
2855,If caster is wearing a magic ring: it disintegrates upon removal, Casterâ€™s hair grows to two feet long and begins strangling him
2856,If caster is wearing a magic ring: it explodes upon removal, Casterâ€™s hair ignites
2857,If caster is wearing a magic ring: it has 2X as many charges, Casterâ€™s hair seems to be aflame when he is angered
2858,If caster is wearing a magic ring: it heats to 1:000Â°, Casterâ€™s hair stands on end when he casts a spell
2859,If caster is wearing a magic ring: it shines like the sun, Casterâ€™s hair turns to air
2860,If caster is wearing a magic ring: it shrinks by 50%, Casterâ€™s hair turns to blue: non-caloric magical fire
2861,If caster is wearing a magic ring: it sprouts dozens of needles, Casterâ€™s hair turns to glass when cut
2862,If caster is wearing a magic ring: it turns permanently invisible, Casterâ€™s hair turns to grass
2863,If caster is wearing a magic ring: it turns to lead, Casterâ€™s hair turns to harmless snakes
2864,If caster is wearing a magic ring: it weighs more than he does, Casterâ€™s hair turns to ice
2865,If caster is wearing a magic ring: it works only 75% of the time, Casterâ€™s hair turns to metal when cut
2866,If caster is wearing a magic ring: it's as brittle as glass, Casterâ€™s hair turns to steel wire for d6 days
2867,If caster is wearing a magic ring: it's on someone else's finger, Casterâ€™s hand and foot disappear; limbs fuse at the stumps
2868,If caster is wearing a magic ring: it's suddenly in his stomach, Casterâ€™s hand locks onto his principal weapon; no spellcasting
2869,If caster is wearing a magic ring: its effect is reversed, Casterâ€™s handedness (left or right) is reversed
2870,If caster is wearing a magic ring: its main function is altered, Casterâ€™s handedness (left or right) switches daily
2871,If caster is wearing a magic ring: no one takes him seriously, Casterâ€™s hands and feet grow webbing; casting times are doubled
2872,If caster is wearing a magic ring: smoke pours from his nostrils, Casterâ€™s hands and feet switch places
2873,If caster is wearing a magic ring: that finger doubles in length, Casterâ€™s hands close into fists: no Somatic spells may be cast
2874,If caster is wearing a magic ring: that finger turns into a thumb, Casterâ€™s hands disappear; arms fuse at the wrists
2875,If caster is wearing a magic ring: that finger turns invisible, Casterâ€™s hands turn into claws like a lobsterâ€™s
2876,If caster is wearing a magic ring: that hand ages 1d100 years, Casterâ€™s hands turn to spheres at the ends of his wrists
2877,If caster is wearing a magic ring: that hand attacks the other, Casterâ€™s hat becomes a hart
2878,If caster is wearing a magic ring: that hand becomes gangrenous, Casterâ€™s hat: hood: or helmet becomes affixed to his head
2879,If caster is wearing a magic ring: that hand doubles in size, Casterâ€™s head adopts a mirror-like sheen
2880,If caster is wearing a magic ring: that hand has Dexterity 18, Casterâ€™s head and one limb exchange places
2881,If caster is wearing a magic ring: that hand has Strength 18/00, Casterâ€™s head and pancreas exchange places
2882,If caster is wearing a magic ring: that hand is burned to a crisp, Casterâ€™s head appears like a throbbing human heart
2883,If caster is wearing a magic ring: that hand is gnarled like wood, Casterâ€™s head appears to be a huge hand with a face in the palm
2884,If caster is wearing a magic ring: that hand is stricken numb, Casterâ€™s head appears to be inside out
2885,If caster is wearing a magic ring: that hand looks like a claw, Casterâ€™s head appears to be that of an earthworm or snail
2886,If caster is wearing a magic ring: that hand looks like bare bone, Casterâ€™s head appears to have a 1â€ diameter hole through it
2887,If caster is wearing a magic ring: that hand sprouts feathers, Casterâ€™s head attaches to his arm where his hand should be
2888,If caster is wearing a magic ring: that hand turns into a foot, Casterâ€™s head encased in iron with gaps for eyes: ears: & mouth
